"name","field_keywords","description"
"Health Care","health, healthcare, hospitals, public health, health insurance, patient care, health system, medical care","Covers general health policy, insurance coverage, and access to care in New York — including hospital and provider regulation, public health initiatives, and health system affordability."
"Mental Health","mental health, behavioral health, crisis intervention, counseling, psychiatric care, developmental disabilities","Covers mental health treatment access, funding, and services in New York — including crisis response, school-based mental health programs, and support for developmental and behavioral health needs."
"Developmental Disabilities","developmental disabilities, OPWDD, disability services, caregiver support, community-based care","Covers services, funding, and rights for New Yorkers with developmental disabilities — including OPWDD-funded programs, community-based care, and support for families and caregivers."
"Women's Health","women's health, maternal health, breast cancer, prenatal care, preventive care","Covers state legislation on women's health care access — including maternal health, breast and cervical cancer screening, and coverage for gynecological and preventive care services."
"Health Equity","health equity, health disparities, underserved communities, community health, health access","Covers efforts to close health outcome gaps across race, income, and geography in New York — including community health investment, culturally competent care, and access in underserved areas."
"Medicaid","Medicaid, managed care, provider reimbursement, low-income coverage, health coverage","Covers New York's Medicaid program — including eligibility, provider reimbursement, managed care, and coverage for low-income residents, seniors, and people with disabilities."
"Child Care","child care, day care, child care subsidy, early childhood, working families","Covers access to and funding for child care in New York — including subsidies for working families, provider licensing standards, and early childhood education support."
"Social Services","social services, public assistance, welfare, county services, safety net","Covers public assistance and social service programs in New York — including cash assistance, food and heating aid, and support services administered through county and state agencies."
"Nutrition","nutrition, food security, SNAP, food banks, school meals","Covers food access and nutrition policy in New York — including SNAP benefits, school meal programs, food insecurity, and support for food banks and pantries."
"Lyme & Tick-Borne Diseases","Lyme disease, tick-borne illness, tick prevention, insurance coverage, public health","Covers prevention, treatment, and research funding for Lyme disease and other tick-borne illnesses in New York — including insurance coverage for long-term treatment and public awareness efforts."
"Opioid & Substance Use","opioid, substance use, addiction, overdose prevention, recovery services, controlled substances","Covers substance use prevention, treatment, and recovery services in New York — including opioid overdose response, addiction treatment funding, and regulation of controlled substances and alcohol."
"Education","education, K-12, public schools, school funding, teachers, curriculum","Covers K-12 education policy in New York — including school funding, curriculum standards, teacher issues, and access to quality public education across the state."
"Higher Education","higher education, SUNY, CUNY, tuition, financial aid, student debt","Covers colleges and universities in New York — including SUNY and CUNY funding, tuition assistance, student debt, and access to affordable higher education."
"Libraries","libraries, library funding, public libraries, literacy, community access","Covers public library funding, services, and access in New York — including state aid to libraries, library construction, and programs that expand community access to information."
"Economic Development","economic development, business incentives, workforce development, regional economy, investment","Covers state initiatives to grow local and regional economies in New York — including business incentives, workforce development, and investment in economically distressed communities."
"Small Business","small business, entrepreneurs, business regulation, business tax credits, local business","Covers policy affecting small businesses in New York — including access to capital, regulatory relief, tax incentives, and support programs for entrepreneurs and local business owners."
"Labor","labor, unions, workplace safety, worker rights, collective bargaining","Covers workplace rights and labor policy in New York — including union organizing, workplace safety, wage protections, and rights for public and private sector workers."
"Jobs & Employment","jobs, employment, unemployment insurance, workforce training, hiring","Covers employment policy and job creation in New York — including unemployment insurance, workforce training, hiring practices, and support for New Yorkers seeking work."
"Minimum Wage","minimum wage, wage increase, living wage, wage indexing","Covers minimum wage policy in New York — including statewide and regional wage rates, indexing to inflation, and the impact of wage increases on workers and small businesses."
"Finance","finance, banking, lending, financial regulation, corporations","Covers financial services regulation in New York — including banking, lending practices, corporate governance, and oversight of financial institutions operating in the state."
"Insurance","insurance, insurance rates, coverage requirements, insurance regulation","Covers insurance regulation in New York — including health, auto, homeowners, and life insurance rate setting, consumer protections, and coverage requirements."
"Budget","budget, state budget, executive budget, appropriations, spending","Covers the New York State budget process — including the Executive Budget, state spending priorities, revenue projections, and appropriations across agencies and programs."
